"filename", "language", "TypeScript", "XML", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Payment/PaymentSuccess.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Product/FilterSection.tsx", "TypeScript JSX", 0, 0, 149, 0, 0, 0, 0, 0, 0, 14, 18, 181
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Product/Product.tsx", "TypeScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 0, 8, 13, 125
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Product/ProductCard.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Product/ProductCard.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 6, 89
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/ProductDetail/ONProductDescription.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 5, 83
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/ProductDetail/ProductDetail.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 0, 6, 12, 173
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/ProductDetail/SimilarProduct.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/ProductDetail/SimilarProductCard.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Review/Review.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Review/ReviewCard.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/user/pages/Routes/DashboardRoutes.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
